"","can","countri","includ","like","one","said","time","year","accord","also","mani","peopl"
"Food_Data1.txt",1,2,2,1,2,1,1,1,0,0,0,0
"Food_Data2.txt",3,1,1,1,5,0,2,2,2,1,1,1
"Food_Data3.txt",3,1,1,0,3,1,2,3,1,4,2,1
"Food_Data4.txt",2,2,2,2,2,0,0,2,0,2,0,1
"Food_Data5.txt",0,1,0,0,1,4,2,0,0,2,1,0
"Tech_Data1.txt",0,0,3,0,0,2,0,1,0,2,0,1
"Tech_Data2.txt",3,0,0,2,1,5,2,1,0,4,1,1
"Tech_Data3.txt",0,0,1,1,2,5,1,3,1,2,3,0
"Tech_Data4.txt",1,2,0,1,0,2,0,2,1,1,1,1
"Tech_Data5.txt",2,0,1,1,0,0,0,1,2,2,1,0
"World_data1.txt",1,0,2,0,3,2,1,1,2,0,1,3
"World_data2.txt",2,2,0,2,0,7,6,3,0,2,1,7
"World_data3.txt",1,5,2,1,3,6,3,1,3,2,8,1
"World_data4.txt",1,5,0,0,1,9,0,5,3,1,0,2
"World_data5.txt",1,0,2,0,2,0,2,0,4,1,0,0
